 	Label	Area	Mean	Min	Max
1	4.tif:Green	2.080	26336.243	21971	28323
2	8.tif:Green	2.080	20731.862	16207	23046
3	12.tif:Green	2.080	17066.047	14870	19185
4	16.tif:Green	2.080	14956.626	12499	17068
5	20.tif:Green	2.080	12976.720	13086	14632
6	25.tif:Green	2.080	11238.938	10140	12995
7	30.tif:Green	2.080	10009.335	8721	11692
8	35.tif:Green	2.080	9022.460	7622	10914
9	45.tif:Green	2.080	7461.690	6570	9086
10	60.tif:Green	2.080	6030.972	5084	7637
11	0.tif:Green	2.080	38978.888	35061	39767
