X	Y
0.00000	43037.500
0.00667	43028.742
0.01333	42997.184
0.02000	43008.699
0.02667	42971.910
0.03333	42987.266
0.04000	42985.840
0.04667	43040.133
0.05333	43028.000
0.06000	42990.559
0.06667	42988.168
0.07333	42973.484
0.08000	42964.559
0.08667	42963.352
0.09333	42928.984
0.10000	42911.102
0.10667	42944.051
0.11333	42937.301
0.12000	42899.035
0.12667	42909.449
0.13333	42880.125
0.14000	42894.391
0.14667	42930.109
0.15333	42837.484
0.16000	42817.750
0.16667	42832.941
0.17333	42887.148
0.18000	42894.449
0.18667	42856.699
0.19333	42811.449
0.20000	42791.465
0.20667	42794.125
0.21333	42822.332
0.22000	42807.133
0.22667	42789.434
0.23333	42802.715
0.24000	42811.840
0.24667	42852.176
0.25333	42817.301
0.26000	42801.918
0.26667	42772.184
0.27333	42788.852
0.28000	42760.273
0.28667	42790.141
0.29333	42777.727
0.30000	42794.883
0.30667	42750.785
0.31333	42736.957
0.32000	42746.418
0.32667	42742.383
0.33333	42659.340
0.34000	42692.633
0.34667	42710.332
0.35333	42671.426
0.36000	42708.176
0.36667	42677.250
0.37333	42630.316
0.38000	42610.242
0.38667	42593.125
0.39333	42626.617
0.40000	42662.617
0.40667	42648.910
0.41333	42628.266
0.42000	42621.801
0.42667	42600.574
0.43333	42589.742
0.44000	42563.441
0.44667	42557.801
0.45333	42543.934
0.46000	42511.016
0.46667	42542.492
0.47333	42553.418
0.48000	42507.133
0.48667	42497.258
0.49333	42471.992
0.50000	42467.066
0.50667	42445.148
0.51333	42452.891
0.52000	42408.684
0.52667	42365.250
0.53333	42384.742
0.54000	42376.543
0.54667	42384.199
0.55333	42356.641
0.56000	42323.910
0.56667	42263.359
0.57333	42245.375
0.58000	42259.035
0.58667	42141.191
0.59333	42147.418
0.60000	42123.359
0.60667	42044.352
0.61333	42000.898
0.62000	41940.234
0.62667	41911.340
0.63333	41825.699
0.64000	41758.207
0.64667	41633.691
0.65333	41563.418
0.66000	41455.418
0.66667	41315.477
0.67333	41181.898
0.68000	41029.148
0.68667	40841.965
0.69333	40608.168
0.70000	40442.141
0.70667	40201.102
0.71333	39891.367
0.72000	39591.543
0.72667	39248.832
0.73333	38906.500
0.74000	38563.207
0.74667	38167.816
0.75333	37676.023
0.76000	37185.949
0.76667	36705.660
0.77333	36198.824
0.78000	35663.016
0.78667	35074.867
0.79333	34546.910
0.80000	33964.227
0.80667	33357.359
0.81333	32789.910
0.82000	32189.041
0.82667	31604.275
0.83333	31015.268
0.84000	30460.518
0.84667	29906.342
0.85333	29381.650
0.86000	28879.750
0.86667	28377.500
0.87333	27938.982
0.88000	27478.000
0.88667	27045.275
0.89333	26631.508
0.90000	26250.742
0.90667	25940.732
0.91333	25587.809
0.92000	25260.725
0.92667	24996.367
0.93333	24732.084
0.94000	24494.592
0.94667	24267.258
0.95333	24056.900
0.96000	23856.033
0.96667	23695.051
0.97333	23502.357
0.98000	23350.467
0.98667	23215.051
0.99333	23060.975
1.00000	22933.408
1.00667	22790.309
1.01333	22695.625
1.02000	22601.018
1.02667	22497.850
1.03333	22393.541
1.04000	22307.875
1.04667	22169.742
1.05333	22100.059
1.06000	22038.125
1.06667	21930.699
1.07333	21879.309
1.08000	21823.500
1.08667	21729.467
1.09333	21648.033
1.10000	21584.033
1.10667	21552.650
1.11333	21471.900
1.12000	21405.666
1.12667	21367.574
1.13333	21286.225
1.14000	21226.316
1.14667	21151.875
1.15333	21117.301
1.16000	21094.607
1.16667	21036.850
1.17333	20979.008
1.18000	20926.217
1.18667	20888.949
1.19333	20811.133
1.20000	20781.908
1.20667	20725.158
1.21333	20674.607
1.22000	20586.867
1.22667	20549.975
1.23333	20466.926
1.24000	20450.232
1.24667	20411.107
1.25333	20365.199
1.26000	20295.975
1.26667	20244.508
1.27333	20216.166
1.28000	20175.008
1.28667	20132.525
1.29333	20095.125
1.30000	20053.268
1.30667	19998.768
1.31333	19985.850
1.32000	19960.783
1.32667	19881.143
1.33333	19865.209
1.34000	19816.041
1.34667	19781.684
1.35333	19776.908
1.36000	19713.434
1.36667	19655.676
1.37333	19635.824
1.38000	19654.842
1.38667	19625.934
1.39333	19576.551
1.40000	19529.816
1.40667	19542.350
1.41333	19482.000
1.42000	19465.434
1.42667	19464.566
1.43333	19423.842
1.44000	19384.150
1.44667	19364.100
1.45333	19345.334
1.46000	19335.791
1.46667	19305.268
1.47333	19272.658
1.48000	19234.268
1.48667	19194.426
1.49333	19226.041
1.50000	19212.492
1.50667	19163.916
1.51333	19145.684
1.52000	19143.375
1.52667	19132.191
1.53333	19096.100
1.54000	19096.283
1.54667	19071.393
1.55333	19087.125
1.56000	19068.732
1.56667	19044.176
1.57333	19022.084
1.58000	19010.617
1.58667	19000.592
1.59333	18990.949
1.60000	18946.676
1.60667	18918.258
1.61333	18928.025
1.62000	18878.617
1.62667	18888.842
1.63333	18905.383
1.64000	18900.809
1.64667	18859.541
1.65333	18856.658
1.66000	18843.893
1.66667	18822.658
1.67333	18802.092
1.68000	18753.541
1.68667	18749.691
1.69333	18714.158
1.70000	18723.059
1.70667	18715.324
1.71333	18686.750
1.72000	18683.824
1.72667	18684.916
1.73333	18654.357
1.74000	18618.000
1.74667	18612.133
1.75333	18629.375
1.76000	18597.850
1.76667	18602.316
1.77333	18580.883
1.78000	18564.482
1.78667	18543.482
1.79333	18545.617
1.80000	18564.916
1.80667	18551.801
1.81333	18525.584
1.82000	18526.033
1.82667	18553.982
1.83333	18537.625
1.84000	18509.217
1.84667	18513.074
1.85333	18473.908
1.86000	18469.541
1.86667	18497.383
1.87333	18474.051
1.88000	18410.400
1.88667	18403.416
1.89333	18397.324
1.90000	18397.025
1.90667	18411.908
1.91333	18414.459
1.92000	18417.217
1.92667	18396.400
1.93333	18381.908
1.94000	18353.309
1.94667	18397.525
1.95333	18367.883
1.96000	18336.275
1.96667	18355.150
1.97333	18378.117
1.98000	18369.400
1.98667	18364.393
1.99333	18358.732
2.00000	18361.857
2.00667	18407.908
2.01333	18378.684
2.02000	18368.199
2.02667	18397.809
2.03333	18384.551
2.04000	18383.666
2.04667	18393.533
2.05333	18366.732
2.06000	18383.934
2.06667	18416.850
2.07333	18434.158
2.08000	18427.184
2.08667	18421.717
2.09333	18439.607
2.10000	18467.992
2.10667	18467.926
2.11333	18467.941
2.12000	18483.250
2.12667	18487.750
2.13333	18516.232
2.14000	18514.809
2.14667	18537.133
2.15333	18560.975
2.16000	18572.900
2.16667	18570.875
2.17333	18633.074
2.18000	18636.992
2.18667	18632.875
2.19333	18704.316
2.20000	18723.533
2.20667	18736.475
2.21333	18788.268
2.22000	18825.158
2.22667	18831.316
2.23333	18850.467
2.24000	18878.758
2.24667	18925.074
2.25333	18965.434
2.26000	18987.551
2.26667	19015.393
2.27333	19062.434
2.28000	19096.809
2.28667	19089.400
2.29333	19115.434
2.30000	19179.375
2.30667	19227.908
2.31333	19252.500
2.32000	19294.074
2.32667	19343.350
2.33333	19389.008
2.34000	19400.475
2.34667	19408.309
2.35333	19458.676
2.36000	19476.416
2.36667	19495.400
2.37333	19551.676
2.38000	19615.850
2.38667	19639.658
2.39333	19685.400
2.40000	19742.492
2.40667	19799.232
2.41333	19816.607
2.42000	19841.699
2.42667	19903.316
2.43333	19956.893
2.44000	20005.941
2.44667	20065.217
2.45333	20138.533
2.46000	20207.625
2.46667	20264.791
2.47333	20313.625
2.48000	20378.900
2.48667	20460.459
2.49333	20508.684
2.50000	20563.133
2.50667	20648.475
2.51333	20703.900
2.52000	20765.125
2.52667	20815.992
2.53333	20902.158
2.54000	20988.725
2.54667	21056.475
2.55333	21101.650
2.56000	21174.309
2.56667	21273.441
2.57333	21320.117
2.58000	21409.541
2.58667	21503.184
2.59333	21559.893
2.60000	21629.768
2.60667	21735.533
2.61333	21792.926
2.62000	21883.908
2.62667	21974.426
2.63333	22060.117
2.64000	22130.867
2.64667	22234.449
2.65333	22307.975
2.66000	22409.066
2.66667	22471.816
2.67333	22580.809
2.68000	22689.301
2.68667	22777.926
2.69333	22876.383
2.70000	22952.775
2.70667	23058.500
2.71333	23169.342
2.72000	23250.232
2.72667	23339.416
2.73333	23473.426
2.74000	23582.533
2.74667	23686.100
2.75333	23799.883
2.76000	23889.699
2.76667	24014.500
2.77333	24140.566
2.78000	24257.242
2.78667	24393.084
2.79333	24513.316
2.80000	24636.857
2.80667	24789.316
2.81333	24937.934
2.82000	25116.783
2.82667	25284.982
2.83333	25473.676
2.84000	25675.316
2.84667	25855.992
2.85333	26092.508
2.86000	26295.934
2.86667	26511.500
2.87333	26762.041
2.88000	27043.184
2.88667	27325.834
2.89333	27617.809
2.90000	27944.650
2.90667	28287.426
2.91333	28661.658
2.92000	29009.842
2.92667	29388.775
2.93333	29828.533
2.94000	30252.508
2.94667	30690.926
2.95333	31123.000
2.96000	31585.242
2.96667	32056.684
2.97333	32577.518
2.98000	33065.648
2.98667	33562.160
2.99333	34089.023
3.00000	34565.176
3.00667	35048.148
3.01333	35548.707
3.02000	36028.016
3.02667	36490.258
3.03333	36947.875
3.04000	37367.199
3.04667	37741.199
3.05333	38139.918
3.06000	38543.117
3.06667	38862.773
3.07333	39216.648
3.08000	39520.625
3.08667	39783.477
3.09333	39975.000
3.10000	40202.023
3.10667	40365.516
3.11333	40550.383
3.12000	40695.500
3.12667	40785.367
3.13333	40930.273
3.14000	41028.809
3.14667	41098.051
3.15333	41214.852
3.16000	41329.500
3.16667	41387.465
3.17333	41468.984
3.18000	41541.000
3.18667	41570.117
3.19333	41633.293
3.20000	41682.859
3.20667	41739.801
3.21333	41801.234
3.22000	41814.801
3.22667	41850.184
3.23333	41855.492
3.24000	41866.332
3.24667	41910.957
3.25333	41895.184
3.26000	41914.176
3.26667	41925.426
3.27333	41975.625
3.28000	42002.227
3.28667	42026.023
3.29333	42010.676
3.30000	42037.543
3.30667	42054.816
3.31333	42067.258
3.32000	42102.184
3.32667	42128.016
3.33333	42115.367
3.34000	42139.391
3.34667	42120.359
3.35333	42156.676
3.36000	42151.977
3.36667	42188.352
3.37333	42219.574
3.38000	42223.898
3.38667	42242.641
3.39333	42229.852
3.40000	42254.934
3.40667	42258.383
3.41333	42226.668
3.42000	42276.660
3.42667	42301.500
3.43333	42329.023
3.44000	42324.375
3.44667	42293.434
3.45333	42293.410
3.46000	42303.090
3.46667	42339.559
3.47333	42323.051
3.48000	42289.141
3.48667	42298.977
3.49333	42276.332
3.50000	42253.359
3.50667	42270.891
