X	Y
2.12667	6624.417
2.13333	6720.383
2.14000	6819.725
2.14667	6949.075
2.15333	7049.442
2.16000	7191.792
2.16667	7331.067
2.17333	7475.675
2.18000	7631.067
2.18667	7786.833
2.19333	7962.700
2.20000	8150.708
2.20667	8327.184
2.21333	8542.608
2.22000	8756.783
2.22667	8983.750
2.23333	9217.750
2.24000	9470.575
2.24667	9739.708
2.25333	10001.950
2.26000	10288.108
2.26667	10587.833
2.27333	10862.592
2.28000	11167.559
2.28667	11489.509
2.29333	11784.583
2.30000	12107.100
2.30667	12421.292
2.31333	12781.075
2.32000	13136.542
2.32667	13508.767
2.33333	13859.259
2.34000	14216.733
2.34667	14586.417
2.35333	14961.958
2.36000	15353.142
2.36667	15738.967
2.37333	16105.691
2.38000	16488.416
2.38667	16874.926
2.39333	17246.625
2.40000	17597.258
2.40667	17940.092
2.41333	18340.684
2.42000	18682.709
2.42667	19062.066
2.43333	19421.309
2.44000	19750.176
2.44667	20070.518
2.45333	20377.000
2.46000	20715.625
2.46667	20990.324
2.47333	21323.117
2.48000	21613.607
2.48667	21881.084
2.49333	22168.059
2.50000	22421.633
2.50667	22721.232
2.51333	22989.959
2.52000	23254.449
2.52667	23507.416
2.53333	23761.643
2.54000	24003.350
2.54667	24219.742
2.55333	24443.084
2.56000	24669.758
2.56667	24882.383
2.57333	25099.217
2.58000	25330.934
2.58667	25541.816
2.59333	25750.875
2.60000	25956.508
2.60667	26146.225
2.61333	26377.334
2.62000	26584.383
2.62667	26807.959
2.63333	26965.574
2.64000	27141.184
2.64667	27342.742
2.65333	27502.275
2.66000	27659.574
2.66667	27836.059
2.67333	27998.393
2.68000	28177.400
2.68667	28377.541
2.69333	28507.816
2.70000	28665.250
2.70667	28707.658
2.71333	28858.084
2.72000	29015.107
2.72667	29179.750
2.73333	29234.676
2.74000	29358.717
2.74667	29473.400
2.75333	29578.941
2.76000	29689.750
2.76667	29792.691
2.77333	29879.783
2.78000	29963.416
2.78667	30034.650
2.79333	30154.926
2.80000	30266.975
2.80667	30387.949
2.81333	30454.566
2.82000	30532.717
2.82667	30617.592
2.83333	30714.975
2.84000	30788.791
2.84667	30895.268
2.85333	30971.117
2.86000	31034.342
2.86667	31120.775
2.87333	31222.824
2.88000	31256.143
2.88667	31316.916
2.89333	31394.607
2.90000	31461.617
2.90667	31559.107
2.91333	31664.107
2.92000	31737.857
2.92667	31815.434
2.93333	31883.775
2.94000	31962.551
2.94667	32033.434
2.95333	32122.801
2.96000	32216.875
2.96667	32250.191
2.97333	32335.475
2.98000	32455.275
2.98667	32484.467
2.99333	32603.018
3.00000	32663.176
3.00667	32718.191
3.01333	32794.090
3.02000	32894.102
3.02667	32975.750
3.03333	33036.242
3.04000	33093.477
3.04667	33173.082
3.05333	33244.824
3.06000	33298.742
3.06667	33372.859
3.07333	33483.090
3.08000	33541.215
3.08667	33603.566
3.09333	33716.859
3.10000	33822.234
3.10667	33917.410
3.11333	33965.090
3.12000	34039.566
3.12667	34111.250
3.13333	34185.184
3.14000	34273.242
3.14667	34362.449
3.15333	34436.484
3.16000	34523.117
3.16667	34596.125
3.17333	34679.176
3.18000	34744.816
3.18667	34825.801
3.19333	34899.676
3.20000	34985.574
3.20667	35027.559
3.21333	35087.875
3.22000	35152.809
3.22667	35267.684
3.23333	35338.434
3.24000	35412.133
3.24667	35478.340
3.25333	35502.082
3.26000	35603.168
3.26667	35670.758
3.27333	35782.699
3.28000	35859.684
3.28667	35886.727
3.29333	35981.750
3.30000	36068.426
3.30667	36156.977
3.31333	36213.449
3.32000	36291.949
3.32667	36357.684
3.33333	36426.375
3.34000	36514.250
3.34667	36578.133
3.35333	36628.859
3.36000	36680.023
3.36667	36755.941
3.37333	36814.398
3.38000	36877.184
3.38667	36917.066
3.39333	36976.035
3.40000	37077.773
3.40667	37147.965
3.41333	37154.883
3.42000	37195.117
3.42667	37270.875
3.43333	37331.750
3.44000	37368.582
3.44667	37452.367
3.45333	37499.992
3.46000	37546.316
3.46667	37578.633
3.47333	37608.418
3.48000	37682.992
3.48667	37755.168
3.49333	37847.125
3.50000	37885.766
3.50667	37964.590
3.51333	38010.059
3.52000	38062.168
3.52667	38092.523
3.53333	38188.207
3.54000	38228.668
3.54667	38275.383
3.55333	38369.008
3.56000	38405.176
3.56667	38460.758
3.57333	38476.535
3.58000	38538.516
3.58667	38563.293
3.59333	38643.891
3.60000	38705.852
3.60667	38806.750
3.61333	38852.375
3.62000	38870.484
3.62667	38881.949
3.63333	38922.617
3.64000	38966.109
3.64667	39052.852
3.65333	39096.793
3.66000	39139.008
3.66667	39155.559
3.67333	39258.082
3.68000	39279.398
3.68667	39295.484
3.69333	39355.816
3.70000	39363.285
3.70667	39360.727
3.71333	39421.332
3.72000	39487.133
3.72667	39551.633
3.73333	39586.266
3.74000	39634.418
3.74667	39654.309
3.75333	39691.434
3.76000	39734.449
3.76667	39786.191
3.77333	39804.148
3.78000	39839.523
3.78667	39879.309
3.79333	39913.559
3.80000	39939.465
3.80667	39947.766
3.81333	40011.715
3.82000	40021.324
3.82667	40046.750
3.83333	40075.008
3.84000	40089.176
3.84667	40135.016
3.85333	40146.773
3.86000	40178.035
